Name,Link
"Jacobs, Abraham",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=34653
"Jacobs, William",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33598
"Jacobson, Emanuel",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7679
"Jacomb-Hood, George Percy",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4436
Jacopino del Conte,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5899
Jacopo da Empoli,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5667
Jacopo di Cione,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5528
Jacopo di Giovanni di Francesco,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=21667
"Jacopo of Orvieto, identified with",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2177
"Jacopo of Urbino, identified with",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2177
"Jacovleff, Alexandre",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=12041
"Jacquard, Antoine",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4438
"Jacque, Charles Émile",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4439
"Jacque, Maurice",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4440
"Jacquemart, Jules-Ferdinand",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4441
Jacques d'Anchin,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5508
Jacques de Nivelles,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5509
"Jacquet, Alain",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=10416
"Jacquet, Nicolas-Gabriel",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2135
"Jacquette, Yvonne",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=6859
"Jaeckel, Willy",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4442
"Jäger, Bernhard",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=25831
Jaki,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4443
"James, Frederic",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=33599
"James, John",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=21478
"Jamieson, Mitchell",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4445
"Jammers, Hendrik Frans",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=3928
"Jammes, André",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=32736
"Jamnitzer, Christoph",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=26310
"Jamnitzer I, Wenzel",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4444
"Jamnitzer II, Hans",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=9925
"Janácek, Zbynek",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=24933
"Jandová, Ludmila",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=24806
"Janícek, James",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=24796
"Janinet, Jean-François",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4446
"Janko, May",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4447
"Janscha, Lorenz",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4448
"Jansen, Angela Bing",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4449
"Janssen, Hans",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4450
"Janssen, Henri Adelbert",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4546
"Janssen, Horst",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4451
"Janssen, Jules Cesar",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=30432
Japanese 13th Century,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2845
Japanese 19th Century,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=5653
Japanese Edo Period,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=5655
"Jaques, Bertha Evelyn",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=23604
"Jaques, Ronny",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=31678
"Jarcovják, Lubomír",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=24941
"Jardinier, Claude-Donat",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4452
"Jarry, Alfred",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=17819
"Jarvis, Charles Wesley",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2582
"Jarvis, John Wesley",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=1417
"Jarvis, Roland",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4453
"Javacheff, Christo",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=6937
"Javacheff, Christo Vladimirov",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=6937
"Jawlensky, Alexej von",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=1418
"Jazet, Jean-Pierre-Marie",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=4454
"Jeakins, Dorothy",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=33600
Jean de Court,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=2322
"Jean-Georges, Huyot",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=17811
Jeanne-Claude,https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=21223
"Jeanneret, Charles Edouard",https://web.archive.org/web/20121010194534/http://www.nga.gov/cgi-bin/tsearch?artistid=11554
"Jeanniot, Georges",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=21934
"Jeanniot, Pierre-Georges",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=21934
"Jeanrenaud, Alphonse",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=23303
"Jeaurat, Edme",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=4455
"Jeaurat, Edme-Sebastien",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=11471
"Jeaurat, Etienne",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=4456
"Jeaurat de Bertry, Nicholas Henry",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=36424
"Jeens, Charles Henry",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=6251
"Jefferys, James",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=17658
"Jeffrey, David",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=22100
"Jeffries, Lucille",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=33601
"Jeggli, Hans",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=35792
"Jegher, Christoffel",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=4457
"Jegli, Hans II",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=35792
"Jelinek, Hans",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=33602
"Jemec, Andrej",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=4458
"Jemelka, Jan",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=24926
"Jenkins, Paul",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=1419
"Jenner, Percival",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=7681
"Jenney, Neil",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=10584
"Jennings, Francis",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=7682
"Jennings, Harry",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=7683
"Jennings, Walter W.",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=7684
"Jennings, Wilmer Angier",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=34241
"Jennys, William",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=1420
"Jensen, Alfred",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=5926
"Jensen, Alfred (Julio)",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=5926
"Jensen, Dorothy Hay",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=7636
"Jensen, John Paul",https://web.archive.org/web/20121010194601/http://www.nga.gov/cgi-bin/tsearch?artistid=33603
"Jensen, Niels Borch",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=10032
"Jerrold, Blanchard",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=31276
"Jerry, Cherry Barr",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=35102
Jess,https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=20017
"Jessurun de Mesquita, Samuel",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4683
"Jewett, Edward",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=7685
"Jimenez, A.",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=6145
"Jimenez y Aranda, Luis",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4459
"Jocelyn, Viscountess",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=31465
"Jode, Arnold de",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4460
"Jode, Gerard de",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4461
"Jode I, Pieter de",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=5880
"Jode II, Pieter de",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4462
"Joesting, Dee Oldham",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=34654
"Johann, Helen Louise",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=33604
Johannes von Valkenburg,https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4676
"Johannot, Tony",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=4463
"Johanson, Hans",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=5109
"John, Augustus",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=1421
"John, Augustus Edwin",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=1421
"John, Gwen",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=6351
"John, Gwendolen Mary",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=6351
"John, Jirí",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=17292
"Johns, Jasper",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=2136
"Johns, Jasper Mr.",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=2136
"Johnson, Arthur",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=7687
"Johnson, Charles",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=7688
"Johnson, Charles M.",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=13288
"Johnson, Cornelius",https://web.archive.org/web/20121010194553/http://www.nga.gov/cgi-bin/tsearch?artistid=26319
"Johnson, David",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1422
"Johnson, Dorothy",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=7689
"Johnson, Eastman",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1423
"Johnson, Elizabeth",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=7690
"Johnson, Gerald",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=4464
"Johnson, Gerald L.",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=4464
"Johnson, James",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=11000
"Johnson, John",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1424
"Johnson, Jonathan Eastman",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1423
"Johnson, Joshua",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1425
"Johnson, Lester",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=35434
"Johnson, Lester Frederick",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=35434
"Johnson, Mary Jo",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=19844
"Johnson, Pauline",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=33605
"Johnson, Philip",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=7691
"Johnson, Ray",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=10417
"Johnson, Sargent Claude",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=34242
"Johnson, Thomas",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=11551
"Johnson, Thomas",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=6412
"Johnson, William H.",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=34293
"Johnson, William Henry",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=34293
"Johnston, Annie B.",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=7692
"Johnston, Charles B.",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=34171
"Johnston, Frances Benjamin",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=29929
"Johnston, John",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1424
"Johnston, Joshua",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=1425
"Johnston, Ynez",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=4465
"Joli, Antonio",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=31041
"Jollain, Nicolas-René",https://web.archive.org/web/20121010194615/http://www.nga.gov/cgi-bin/tsearch?artistid=4466
"Jonas, Joan",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=20539
"Jones, Allen",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=5900
"Jones, Calvert Richard, Reverend",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=13364
"Jones, Daniel Burne",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=33606
"Jones, D.P.",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=7693
"Jones, Elizabeth",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=8248
"Jones, Eugene Arthur",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=34244
"Jones, Frederick D.",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=34243
"Jones, George",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=5881
"Jones, Harold",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=26511
"Jones, Inigo",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=21448
"Jones, James",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=6638
"Jones, John",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=4468
"Jones, John Paul",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=4469
"Jones, Joseph John",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=33607
"Jones, Lawrence Arthur",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=34351
"Jones, Mamie M.",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=7694
"Jones, Owen",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=21365
"Jones, Owen Carter",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=21365
"Jones, P.",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=6876
"Jones, Thomas",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=13632
"Jonghelinck, Jacob",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=2137
"Jonghelinck, Jacques",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=2137
"Jongkind, Johan Barthold",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=2583
"Jonson, Cornelis",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=26319
"Jonson, Raymond",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=6610
"Jonson van Ceulen, Cornelis",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=26319
Joos van der Beke,https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=1146
"Jordaens, Jacob",https://web.archive.org/web/20121010194519/http://www.nga.gov/cgi-bin/tsearch?artistid=1426
"Jordan, Genevieve",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7696
"Jordan, John",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7697
"Jordan, Samuel",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=1427
Jordan E.,https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7695
"Joris, Pio",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=5882
"Jorn, Asger",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=9887
Joseph,https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=2301
"Joseph, Ronald",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=34294
"Joseph, Sidney",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=33608
"Josephson, Kenneth",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=24664
Joshua Master,https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=4665
"Josimovich, George",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=33609
"Jossot, Henri-Gustave",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=21935
"Joubert, Karl",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7698
"Jouett, Matthew Harris",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=1428
"Joullain, François",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=4470
"Joullain, Jean Francois",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=4470
"Joullain, Nicolas-René",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=4466
"Jourdain, François",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=17839
"Jousse, Mathurin",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=11472
"Jouvenet, Jean-Baptiste",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=2584
"Joyan, Jules-Romain",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=28430
"Joyant, Jules-Romain",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=28430
"Joyce, James",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7156
"Joyce, T.",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=7699
"Joze, Horvat",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=4443
"Jozsa, Karoly",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=27556
Juan de Flandes,https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=1429
"Judd, Ardath",https://web.archive.org/web/20121010194543/http://www.nga.gov/cgi-bin/tsearch?artistid=27227
